id,lat,lng,start_date,end_date,size,cloudcover,satellite,station,downloaded_path
0,41.5585,-73.402,20110307,20110903,Medium,100,LC8,ALL,
1,41.5585,-73.402,20110307,20110903,Medium,100,LE7,ALL,
2,41.5585,-73.402,20110307,20110903,Medium,100,LT5,ALL,
3,0.1115,113.9171,20080401,20080928,Medium,100,LC8,ALL,
4,0.1115,113.9171,20080401,20080928,Medium,100,LE7,ALL,
5,0.1115,113.9171,20080401,20080928,Medium,100,LT5,ALL,
6,52.3545,-127.698,20150130,20150729,Medium,100,LC8,ALL,
7,52.3545,-127.698,20150130,20150729,Medium,100,LE7,ALL,
8,52.3545,-127.698,20150130,20150729,Medium,100,LT5,ALL,
9,50.7053,-127.5062,20100924,20110323,Medium,100,LC8,ALL,
10,50.7053,-127.5062,20100924,20110323,Medium,100,LE7,ALL,
11,50.7053,-127.5062,20100924,20110323,Medium,100,LT5,ALL,
12,53.3319,-132.4149,20140831,20150227,Small,100,LC8,ALL,
13,53.3319,-132.4149,20140831,20150227,Small,100,LE7,ALL,
14,53.3319,-132.4149,20140831,20150227,Small,100,LT5,ALL,
15,50.4335,-127.4846,20100924,20110323,Medium,100,LC8,ALL,
16,50.4335,-127.4846,20100924,20110323,Medium,100,LE7,ALL,
17,50.4335,-127.4846,20100924,20110323,Medium,100,LT5,ALL,
18,61.978,-143.168,20130725,20140121,Large,100,LC8,ALL,
19,61.978,-143.168,20130725,20140121,Large,100,LE7,ALL,
20,61.978,-143.168,20130725,20140121,Large,100,LT5,ALL,
21,50.5854,-127.0961,20111125,20120523,Medium,100,LC8,ALL,
22,50.5854,-127.0961,20111125,20120523,Medium,100,LE7,ALL,
23,50.5854,-127.0961,20111125,20120523,Medium,100,LT5,ALL,
24,50.9975,-126.4039,20100926,20110325,Small,100,LC8,ALL,
25,50.9975,-126.4039,20100926,20110325,Small,100,LE7,ALL,
26,50.9975,-126.4039,20100926,20110325,Small,100,LT5,ALL,
27,1.3542,116.3816,20081222,20090620,Medium,100,LC8,ALL,
28,1.3542,116.3816,20081222,20090620,Medium,100,LE7,ALL,
29,1.3542,116.3816,20081222,20090620,Medium,100,LT5,ALL,
30,0.7089,107.7503,20081018,20090416,Medium,100,LC8,ALL,
31,0.7089,107.7503,20081018,20090416,Medium,100,LE7,ALL,
32,0.7089,107.7503,20081018,20090416,Medium,100,LT5,ALL,
33,60.0484,-130.9916,20120609,20121206,Medium,100,LC8,ALL,
34,60.0484,-130.9916,20120609,20121206,Medium,100,LE7,ALL,
35,60.0484,-130.9916,20120609,20121206,Medium,100,LT5,ALL,
36,1.1346,97.5239,20111201,20120529,Large,100,LC8,ALL,
37,1.1346,97.5239,20111201,20120529,Large,100,LE7,ALL,
38,1.1346,97.5239,20111201,20120529,Large,100,LT5,ALL,
39,-11.6953,-71.9165,20140104,20140703,Large,100,LC8,ALL,
40,-11.6953,-71.9165,20140104,20140703,Large,100,LE7,ALL,
41,-11.6953,-71.9165,20140104,20140703,Large,100,LT5,ALL,
42,58.5624,-137.0834,20140216,20140815,Very_large,100,LC8,ALL,
43,58.5624,-137.0834,20140216,20140815,Very_large,100,LE7,ALL,
44,58.5624,-137.0834,20140216,20140815,Very_large,100,LT5,ALL,
45,50.2405,-57.5886,20131105,20140504,Small,100,LC8,ALL,
46,50.2405,-57.5886,20131105,20140504,Small,100,LE7,ALL,
47,50.2405,-57.5886,20131105,20140504,Small,100,LT5,ALL,
48,50.2405,-57.5886,20131203,20140601,Small,100,LC8,ALL,
49,50.2405,-57.5886,20131203,20140601,Small,100,LE7,ALL,
50,50.2405,-57.5886,20131203,20140601,Small,100,LT5,ALL,
51,50.239,-57.5866,20070416,20071013,Small,100,LC8,ALL,
52,50.239,-57.5866,20070416,20071013,Small,100,LE7,ALL,
53,50.239,-57.5866,20070416,20071013,Small,100,LT5,ALL,
54,25.606,96.275,20080730,20090126,Large,100,LC8,ALL,
55,25.606,96.275,20080730,20090126,Large,100,LE7,ALL,
56,25.606,96.275,20080730,20090126,Large,100,LT5,ALL,
57,25.6172,96.3005,20150106,20150705,Medium,100,LC8,ALL,
58,25.6172,96.3005,20150106,20150705,Medium,100,LE7,ALL,
59,25.6172,96.3005,20150106,20150705,Medium,100,LT5,ALL,
60,25.6167,96.3167,20100715,20110111,Medium,100,LC8,ALL,
61,25.6167,96.3167,20100715,20110111,Medium,100,LE7,ALL,
62,25.6167,96.3167,20100715,20110111,Medium,100,LT5,ALL,
63,25.6157,96.3167,20140704,20141231,Large,100,LC8,ALL,
64,25.6157,96.3167,20140704,20141231,Large,100,LE7,ALL,
65,25.6157,96.3167,20140704,20141231,Large,100,LT5,ALL,
66,49.9747,-94.3946,20140626,20141223,Small,100,LC8,ALL,
67,49.9747,-94.3946,20140626,20141223,Small,100,LE7,ALL,
68,49.9747,-94.3946,20140626,20141223,Small,100,LT5,ALL,
69,21,99,20110618,20111215,Large,100,LC8,ALL,
70,21,99,20110618,20111215,Large,100,LE7,ALL,
71,21,99,20110618,20111215,Large,100,LT5,ALL,
72,-43.5586,170.1794,20130121,20130720,Medium,100,LC8,ALL,
73,-43.5586,170.1794,20130121,20130720,Medium,100,LE7,ALL,
74,-43.5586,170.1794,20130121,20130720,Medium,100,LT5,ALL,
75,-43.5611,170.1796,20130121,20130720,Large,100,LC8,ALL,
76,-43.5611,170.1796,20130121,20130720,Large,100,LE7,ALL,
77,-43.5611,170.1796,20130121,20130720,Large,100,LT5,ALL,
78,-43.5606,170.1806,20130123,20130722,Small,100,LC8,ALL,
79,-43.5606,170.1806,20130123,20130722,Small,100,LE7,ALL,
80,-43.5606,170.1806,20130123,20130722,Small,100,LT5,ALL,
81,-43.5698,170.1797,20130105,20130704,Small,100,LC8,ALL,
82,-43.5698,170.1797,20130105,20130704,Small,100,LE7,ALL,
83,-43.5698,170.1797,20130105,20130704,Small,100,LT5,ALL,
84,-43.7015,170.0645,20080113,20080711,Very_large,100,LC8,ALL,
85,-43.7015,170.0645,20080113,20080711,Very_large,100,LE7,ALL,
86,-43.7015,170.0645,20080113,20080711,Very_large,100,LT5,ALL,
87,-43.643,170.159,20130109,20130708,Medium,100,LC8,ALL,
88,-43.643,170.159,20130109,20130708,Medium,100,LE7,ALL,
89,-43.643,170.159,20130109,20130708,Medium,100,LT5,ALL,
90,-19.0587,178.2123,20101116,20110515,Medium,100,LC8,ALL,
91,-19.0587,178.2123,20101116,20110515,Medium,100,LE7,ALL,
92,-19.0587,178.2123,20101116,20110515,Medium,100,LT5,ALL,
93,-1.601,123.5476,20120707,20130103,Large,100,LC8,ALL,
94,-1.601,123.5476,20120707,20130103,Large,100,LE7,ALL,
95,-1.601,123.5476,20120707,20130103,Large,100,LT5,ALL,
96,28.8254,96.1517,20120602,20121129,Medium,100,LC8,ALL,
