id,lat,lng,start_date,end_date,size,cloudcover,satellite,station,downloaded_path
0,61.978,-143.168,20130725,20140121,Large,10,LC8,ALL,/mnt/d/ProjectData/Landsat/Images/064017/2013-08-02/LC08/8;/mnt/d/ProjectData/Landsat/Images/066016/2013-11-20/LC08/2;/mnt/d/ProjectData/Landsat/Images/066017/2013-11-20/LC08/1;/mnt/d/ProjectData/Landsat/Images/065016/2013-11-29/LC08/4;/mnt/d/ProjectData/Landsat/Images/064017/2013-12-08/LC08/1;
1,1.1346,97.5239,20111201,20120529,Large,10,LC8,ALL,NODATA
2,-11.6953,-71.9165,20140104,20140703,Large,10,LC8,ALL,NODATA
3,58.5624,-137.0834,20140216,20140815,Very_large,10,LC8,ALL,/mnt/d/ProjectData/Landsat/Images/059019/2014-02-23/LC08/0;/mnt/d/ProjectData/Landsat/Images/060019/2014-04-03/LC08/0;
4,25.606,96.275,20080730,20090126,Large,10,LC8,ALL,NODATA
5,25.6157,96.3167,20140704,20141231,Large,10,LC8,ALL,NODATA
6,21,99,20110618,20111215,Large,10,LC8,ALL,NODATA
7,-43.5611,170.1796,20130121,20130720,Large,10,LC8,ALL,/mnt/d/ProjectData/Landsat/Images/075090/2013-05-11/LC08/7;
8,-43.7015,170.0645,20080113,20080711,Very_large,10,LC8,ALL,NODATA
9,-1.601,123.5476,20120707,20130103,Large,10,LC8,ALL,NODATA
10,-1.8667,121.5,20101012,20110410,Large,10,LC8,ALL,NODATA
11,-1.824,121.5179,20070723,20080119,Large,10,LC8,ALL,NODATA
12,65.0216,-16.6849,20140722,20150118,Large,10,LC8,ALL,/mnt/d/ProjectData/Landsat/Images/217015/2014-10-24/LC08/10;/mnt/d/ProjectData/Landsat/Images/218014/2014-12-18/LC08/7;/mnt/d/ProjectData/Landsat/Images/219014/2015-01-10/LC08/3;/mnt/d/ProjectData/Landsat/Images/217014/2015-01-12/LC08/1;
13,50.6736,-125.712,20130902,20140301,Large,10,LC8,ALL,/mnt/d/ProjectData/Landsat/Images/049025/2013-09-10/LC08/2;/mnt/d/ProjectData/Landsat/Images/049025/2013-10-28/LC08/6;/mnt/d/ProjectData/Landsat/Images/050025/2013-12-06/LC08/3;/mnt/d/ProjectData/Landsat/Images/050024/2014-02-08/LC08/3;/mnt/d/ProjectData/Landsat/Images/050025/2014-02-08/LC08/1;
14,26.9226,107.3407,20140827,20150223,Large,10,LC8,ALL,NODATA
15,30.0315,101.0144,20110713,20120109,Large,10,LC8,ALL,NODATA
16,30.0315,101.0144,20110714,20120110,Large,10,LC8,ALL,NODATA
17,48.5035,-120.7111,20130905,20140304,Large,10,LC8,ALL,/mnt/d/ProjectData/Landsat/Images/046026/2013-10-23/LC08/4;
18,26.026,97.3715,20090704,20091231,Large,10,LC8,ALL,NODATA
19,36.5851,109.4875,20130707,20140103,Large,10,LC8,ALL,/mnt/d/ProjectData/Landsat/Images/127034/2013-09-13/LC08/0;/mnt/d/ProjectData/Landsat/Images/127035/2013-09-13/LC08/0;/mnt/d/ProjectData/Landsat/Images/127034/2013-09-29/LC08/0;/mnt/d/ProjectData/Landsat/Images/127035/2013-09-29/LC08/0;/mnt/d/ProjectData/Landsat/Images/127034/2013-11-16/LC08/4;/mnt/d/ProjectData/Landsat/Images/127035/2013-11-16/LC08/0;/mnt/d/ProjectData/Landsat/Images/127034/2013-12-18/LC08/0;/mnt/d/ProjectData/Landsat/Images/127035/2013-12-18/LC08/9;/mnt/d/ProjectData/Landsat/Images/127034/2014-01-03/LC08/0;/mnt/d/ProjectData/Landsat/Images/127035/2014-01-03/LC08/0;
20,48.5473,-120.7645,20130810,20140206,Large,10,LC8,ALL,/mnt/d/ProjectData/Landsat/Images/045026/2013-08-13/LC08/1;/mnt/d/ProjectData/Landsat/Images/045026/2014-01-04/LC08/0;
